Template Index,Template ID,Template Name,Saved Filename,Updated At,Detected Products Count,Detected Products List,Dynamic Klaviyo Tags
11,XNZ6cw,13.July.Emailer_4.ready for review,11_13julyemailer_4ready_for_review_XNZ6cw.html,2026-08-07T19:34:07+00:00,23,"100% Trusted Brands, ANGAAR Conveyor Grill, COMPLETE YOUR KITCHEN, Celebrate Festival Inc., Conveyor Kebab Grill, Customer Quality, EVERY GREAT DISH BEGINS WITH THE RIGHT EQUIPMENT., Fast Shipping, Food Warmers, Food Warmers & Tables, Heated Display Case, Heated Display Cases, Heated Holding Cabinets, Holding Cabinet, Hot Food Tables, Kebab Extruder, LinkedIn, Pizza Dough Roller, Pizza Dough Roller Machine, Price Match, READY TO UPGRADE YOUR SERVICE?, Refrigerated prep table, Rotating Pita Oven",
12,Y3uBiz,10.July.Emailer_3.ready for review,12_10julyemailer_3ready_for_review_Y3uBiz.html,2026-08-07T19:32:44+00:00,17,"ANGAAR Mini Oven, ANGAAR Stockpot, Celebrate Festival, Check Support, Conveyor Kebab Grill, Fast Shipping, Food Warmers, Heated Display Case, Holding Cabinets, Is Your Kitchen, Kebab Extruder, Keep Your Food Hot Until It's Served, LinkedIn, Price Match, Quality Service, Trusted Brands, Why Restaurants Choose ANGAAR",
13,Rm2Bud,08.July.Emailer_2.ready for review,13_08julyemailer_2ready_for_review_Rm2Bud.html,2026-08-07T19:29:09+00:00,21,"100% Trusted Brands, AUTHENTIC FLAVORS START WITH ANGAAR, Celebrate Festival Inc., Conveyor Kebab Grill, Customer Quality, DOUGH ROLLER MACHINE, FEATURED EQUIPMENT, Fast Shipping, Food Warmers, Heated Cases, Heated Display Case, Holding Cabinet, Holding Cabinets, KEEP EVERY DISH SERVING-READY, Kebab Extruder, Kebab Grill, LinkedIn, Pizza Dough Roller, Price Match, ROTATING PITA OVEN, Rotating Pita Oven",
14,UfDPDj,08.July.Emailer_1.ready for review,14_08julyemailer_1ready_for_review_UfDPDj.html,2026-08-07T18:59:14+00:00,22,"100% Trusted Brands, ANGAAR MINI TANDOOR OVEN, ANGAAR Mini Tandoor, COMMERCIAL KEBAB EXTRUDER, COMPLETE YOUR KITCHEN, CONVEYOR KEBAB GRILL, Celebrate Festival Inc., Customer Quality, DOUGH ROLLER MACHINE, FEATURED ANGAAR SOLUTIONS, Fast Shipping, Food Warmers, Food Warmers & Hot Food Tables, Heated Display Case, Heated Display Cases, Heated Holding Cabinets, Holding Cabinet, LinkedIn, PIZZA DOUGH ROLLER, Price Match, ROTATING PITA OVEN, TURN UP THE HEAT WITH ANGAAR",
15,Rfv2MM,29.Jun.Emailer_10.ready for review,15_29junemailer_10ready_for_review_Rfv2MM.html,2026-08-06T16:58:58+00:00,32,"100+ Trusted Brands, ANGAAR MINI TANDOOR OVEN, Alto-Shaam Commercial warming, Angaar Mini Tandoor Oven, Conveyor Kebab Grill, Customer Quality, Dough Roller, FOOD WARMERS, Food Warmers, HEATED DISPLAY CASES, HEATED HOLDING CABINETS, HOT FOOD TABLES, Heated Display Cases, Heated Display Solutions, Heated Displays, Heated Holding Cabinets, Holding Cabinets, Hot Food Tables, Kebab Extruder, Kebab Grill, LinkedIn, MAKE THIS YOUR BUSIEST SUMMER YET., Merchandisers, Merchandising Displays, Pita Oven, Pizza Dough Roller, Price Match, Rotating Pita Oven, SERVE MORE, SPECIALTY COOKING EQUIPMENT, SUMMER EQUIPMENT SOLUTIONS, Shipping",
16,UvtLqg,29.Jun.Emailer_9.ready for review,16_29junemailer_9ready_for_review_UvtLqg.html,2026-08-06T16:58:20+00:00,34,"100+ Trusted Brands, ANGAAR MINI TANDOOR OVEN, Alto-Shaam Commercial Equipment, Alto-Shaam Heated Display Case, Alto-Shaam Holding Cabinet, Alto-Shaam Merchandiser Display, Angaar Mini Tandoor Oven, Commercial Kebab Extruder, Conveyor Kebab Grill, Countertop Food Warmer, Dough Roller, FOOD WARMERS, Fast & Free Delivery, HEATED DISPLAY CASES, HEATED HOLDING CABINETS, HOT FOOD TABLES, Heated Display Case, Heated Displays, Heated Holding Cabinet, Holding Cabinets, Hot Food Table, Kebab Extruder, Kebab Grill, LinkedIn, Merchandisers, Pita Oven, Pizza Dough Roller Machine, Price Match Guarantee, Quality Customer Service, Rotating Pita Oven, SPECIALTY COOKING EQUIPMENT, SUMMER ESSENTIALS FOR YOUR KITCHEN, SUMMER IS HERE., Summer Kitchen Preparation",
17,UHvcpD,22.Jun.Emailer_8.ready for review,17_22junemailer_8ready_for_review_UHvcpD.html,2026-08-06T16:56:18+00:00,29,"100% Trusted Brands, ALTO-SHAAM, ANGAAR MINI TANDOOR OVEN, Angaar Mini Tandoor Oven, Atosa Mobile Heated Holding Cabinet, Atosa Mobile Holding Cabinet, CONTACT OUR TEAM FOR EXPERT RECOMMENDATIONS, Commercial Countertop Food Warmers, Commercial Countertop Warmers, Customer Quality, Expand Kitchen Capabilities, FOOD WARMERS, Fast Shipping, Food Holding & Warming Equipment, HEATED DISPLAY CASES, HEATED HOLDING CABINETS, HOT FOOD TABLES, Heated Display Case, Hot Food Service Merchandiser, Hot Food Table, Hot Holding Cabinet, Hot Holding Display, Merchandiser Display, Merchandiser Display Unit, Metro Holding & Proofing Cabinet, Price Match, SHOP OUR TOP CATEGORIES, Specialty Cooking Utensils, Vollrath Food Warmer",
18,U5hDGi,22.Jun.Emailer_7,18_22junemailer_7_U5hDGi.html,2026-08-06T16:54:51+00:00,41,"Alto-Shaam Case, Alto-Shaam Heated Display Case, Alto-Shaam Merchandiser, Angaar Mini Tandoor, Angaar Tandoor Oven, Cambro Cabinet, Celebrate Festival Inc, Commercial Countertop Food Warmers, Commercial Kebab Extruder, Consistent Heat. Perfect Holding., Conveyor Kebab Grill, Countertop, Countertop Food Warmers & Fryers, Dough Roller, Efficient Serving Wells, Fast Shipping, Food Warmers Showcase, Heated Display Cabinet, Holding Cabinet, Hot Food Service Merchandiser, Hot Food Table, Kebab Extruder, Kebab Grill, LinkedIn, Metro Holding and Proofing Cabinet, Pizza Dough Roller Machine, Planetary Mixer, Price Match, Quality Service, Ready to Upgrade Your Kitchen?, Rotating Pita Oven, SERVE HOTTER. SERVE BETTER., Service Merch, Showcase Hot Food with Confidence, Specialty Cooking Equipment, Steam Table, True Cabinet, True Heated Holding Cabinet, Trusted Brands, Vollrath Food Warmer, Warming Drawers",
19,Yg5y5j,16.Jun.Emailer_6.ready for review,19_16junemailer_6ready_for_review_Yg5y5j.html,2026-08-06T16:53:31+00:00,16,"Brass Thali Set Serveware, Built for Authentic Flavor, COOKING SOLUTIONS, Clay Tandoor Oven Unit, Complete the Dining Experience, Designed for Traditional Food Prep, Fast Shipping, Indian Specialty Equipment, Indian Specialty Grind Showcase, Price Match, Quality Service, SPECIALTY EQUIPMENT, Supporting Your Business from Kitchen to Service, Traditional Cooking Solutions, Traditional Cooking. Professional Performance., Trusted Brands",
20,WpuUgk,16.Jun.Emailer_5,20_16junemailer_5_WpuUgk.html,2026-08-06T16:52:29+00:00,18,"Commercial Combi Oven, Commercial Convection Oven, Commercial Conveyor Oven, Commercial Kitchen Performance, Designed for Demanding Operations, Dry Heat & Steam Combined, Equipment You Can Depend On, Even Cooking. Reliable Performance., Fast Shipping, High-Volume, Continuous Baking, Holding Cabinet, Keep Your Dishes Fresh & Warm, Perfect Crusts, High Temperature, Power Every Service., Price Match, Professional Pizza Oven, Quality Service, Trusted Brands",
21,UUYCfN,12.Jun.Emailer_4.ready for review,21_12junemailer_4ready_for_review_UUYCfN.html,2026-08-06T16:51:28+00:00,17,"Bakery Presentation, Bulk Discounts, Celebrate Festival, Compact Mithai Cooler, Countertop Display, Curved Glass Case, Customer Service, Deli Case, Fast Shipping, Floor Display, Freshness Meets Presentation, Keep Products Fresh., Merchandiser, Premium Mithai Display Solutions, Price Match, Square Mithai Case, Trusted Brands",
22,XayhtJ,13.Jun.Emailer_3,22_13junemailer_3_XayhtJ.html,2026-08-06T16:50:33+00:00,17,"Biryani Pots, Celebrate Festival, Check Support, Cooking Range, Copper Serveware, Equip Your Kitchen, Essentials for Traditional Cooking, Fast Shipping, Kadai, Keep Operations Running Smoothly, Kitchen Accessories, Prep Equipment, Price Match, Quality Service, Shelving Carts, Trusted Brands, Work Tables",
23,TemLNB,05.Jun.Emailer_2.ready for review,23_05junemailer_2ready_for_review_TemLNB.html,2026-08-06T16:49:19+00:00,26,"Bakery Display, Celebrate Festival, Countertop Case, Custom Refrigeration Quotes, Deli Case, Display Every Treat Beautifully, Drink Cooler, Drink Coolers, Fast Shipping, Freshness Meets Presentation, Ice Cream Cabinet, Ice Cream Dipping Cabinets, Keep Products Fresh., Merchandiser, Premium Mithai Display Solutions, Premium Refrigeration, Price Match, Quality Service, Refrigerated Case, Service, Showcase with Confidence, Specialty Display, Sushi Case, Sushi Cases, Trusted Brands, Visibility That Drives Sales",
24,Tm23iw,05.Jun.Emailer_1.ready for review,24_05junemailer_1ready_for_review_Tm23iw.html,2026-08-05T22:56:08+00:00,30,"100+ Brands, Buffet Equipment, Built for Efficient Operations, Bulk Supply for Large Operations, Celebrate Festival, Chaat Counter, Designed for High-Volume Service, Display Case, Display Stand, Fast Shipping, Food Warmer, Golgappa Counter, Heated Shelves, Holding Cabinet, Hot Merchandiser, Make Every Display Count, Premium Buffet Service, Present Better., Price Match, Professional Chaat Stations, Professional Holding Cabinets, Quality Service, Reliable Performance Every Day, Serve Smarter., Service, Service Line, Serving Station, Shelf Warmer, Soup Kettle, Soup Kettles",
25,TGZSEr,19.May.Emailer_10,25_19mayemailer_10_TGZSEr.html,2026-08-05T22:54:51+00:00,27,"Alto-Shaam, Alto-Shaam Solutions, Atosa Mobile, Atosa Mobile Cabinet, Built for Fast-Paced Kitchens, Celebrate Festival Inc, Commercial Case Line, Commercial food warming equipment, Consistent Heat. Better Service Flow., Display Cases, Fast Shipping, Food Holding &, Food Warmers, Heated Display Case, Holding Cabinet, Hot Food Table, Howard McCray, Howard McCray Range, Keep Every Dish Ready to Serve, Metro Insulated, Metro Insulated Line, Need help choosing the right commercial kitchen equipment?, Price Match, Quality Service, Showcase Hot Food with Confidence, Support, Trusted Brands",
26,S5ffNn,19.May.Emailer_9,26_19mayemailer_9_S5ffNn.html,2026-08-05T22:54:32+00:00,27,"Alto-Shaam Cabinet, Alto-Shaam Display, Alto-Shaam Products, Alto-Shaam heated display equipment, Atosa, Atosa Heated Cabinet, Catering Operations, Celebrate Festival Inc, Customer Quality, Display Freshness While Maintaining Heat, Fast Shipping, Food Holding Cabinets, Food holding and warming equipment, Heated Display Cases, Heated Display Solutions, Hold Temperature. Maintain Quality., Holding & Warming, Hot food table and warmer, Howard McCray, Metro, Metro Proofing Cabinet, Price Match, Reliable Heat for Every Service Line, Serve Hot., Trusted Brands, Trusted by Commercial Kitchens Worldwide, Vollrath Hot Food Table",
27,X7bEjy,19.May.Emailer_8,27_19mayemailer_8_X7bEjy.html,2026-08-05T22:54:04+00:00,31,"A complete ways to browse., Authentic Performance, Biryani Pots, Busy Kitchens Notice the, Celebrate Festival Inc, Commercial blenders, Cooking Equipment, Copper, Essentials for Traditional Cooking, High-Performance Cooking Lines, Holding & Warming, Indian Specialty, Kadai, Melamine, Mixers, Prep & Processing, Prep Tables, Prep and processing equipment, Price Match, Quality, Refrigeration, Serving Trays, Shipping, Stainless Steel, Stainless steel equipment, Storage That Supports the Workflow, Support, Support That Keeps You Ready, Tandoor, Trusted Brands, Walk in coolers",
28,XvJG2a,19.May.Emailer_7,28_19mayemailer_7_XvJG2a.html,2026-08-05T22:53:42+00:00,37,"Alto-Shaam, Alto-Shaam Solutions, Beverage Display, Biryani Pots, Built for Front-of-House Service, Celebrate Festival Inc, Commercial Case Line, Commercial kitchen equipment, Cooking Equipment, Copper, Display Cases, Essentials for Traditional Cooking, Fast Shipping, Howard McCray, Howard McCray Range, Indian Specialty, Kadai, Kitchen Tools, Kitchen smallwares, Made for Long Service Hours, Melamine, Prep & Processing, Prep and processing equipment, Presentation, Price Match, Quality Service, Serving Trays, Showcase Hot Food with Confidence, Some Kitchens Run on Speed. Others Run on, Stainless Steel, Stainless steel equipment, Support, Support That Works Around Your Needs, Tabletop serviceware, Tandoor, Traditional Performance, Trusted Brands",
29,W7ziQy,15.May.Emailer_6,29_15mayemailer_6_W7ziQy.html,2026-08-05T22:53:24+00:00,16,"Call, Celebrate Festival Inc, Deli and Prepared Foods, Fast Shipping, Fresh Produce Section, Frozen Foods Aisle, Mail, Map, Meat Cutting, Price Match, Quality Service, Sandwich Prep, Sanitation Area, Trusted Brands, Walk-In Cooler, Web",
30,R4cDbh,12.May.Emailer_5,30_12mayemailer_5_R4cDbh.html,2026-08-05T22:53:08+00:00,25,"100+ Trusted Brands, Buckets, Celebrate Festival Inc, Commercial Ovens, Cooking Equipment for Continuous Service, Cooling That Works Quietly in the Background, Customer Quality, Essentials for Traditional Cooking & Service, Flat Tops, Handi, Kadai, Made to Handle Everyday Use, Prep Equipment, Price Match, Ranges & Griddles, Refrigeration, Shipping, Stainless Steel Shelving, Storage Racks, Support That Keeps Kitchens Ready, Tandoor, Thali, The Difference Shows During the, Utensils, Where the Day Starts",
31,Taci25,12.May.Emailer_4,31_12mayemailer_4_Taci25.html,2026-08-05T22:52:06+00:00,28,"100+ Trusted Brands, Buckets, Built Around Daily Prep, Bun Pan Rack, Celebrate Festival Inc, Commercial Ovens, Customer Quality, Equipment That Keeps Pace, Food Prep, Gas Ranges, Gas Ranges & Burners, Grills, Handi, Kadai, Keep Ingredients Within Reach, Kitchen Operations, Price Match, Refrigeration, Shipping, Stainless Steel Shelving, Storage Racks & Workstations, Storage That Supports the Kitchen, Support Beyond the Purchase, Tandoor, Thali, The Work Doesn’t Pause Once, Traditional Equipment for Indian Kitchens, Utensils",
32,UR3wu5,07.May.Emailer_3,32_07mayemailer_3_UR3wu5.html,2026-08-05T22:49:54+00:00,32,"12 Brass Thali Set Of 7 Pieces Matt Finish Dinner Plates, Because Every Shift Depends on What’s Behind the Line, Brass Thali Set, Built for Traditional Cooking & Service, Celebrate Festival, Cooking Equipment, Cooking Line, Copper Handi Bowl, Copper Katori Bowl, Copper Stainless Steel Hammered Omega Katori Bowl 3 5 Oz Round Bottom For Dining Serving, Copper Stainless Steel Pickle Chutney Dip Serving Stand 3 Bowl Traditional Indian Condiment Holder With Brass Base, Fast Shipping, Floor Mixer, Freezers & Cold Storage, Hammered Copper Kadai, Hammered Copper Stainless Steel Kadai Karahi Bowl With Welded Handle Traditional Indian Serveware, New festive arrivals, Peacock Thali Plate, Peacock Thali Plate 16 Inch 12 5 Round 3 5 Extension For Bowl Katori, Prep & Workflow, Prep Tables, Price Match, Quality Service, Reach-in Refrigerators, Refrigeration That Keeps Things Ready, Service Support, Serving Stand, Support That Fits Your Setup, The Rush Starts, Tools That Keep Work Moving, Traditional Copper Handi Lagan With Kalai Tin Coating Inside Authentic Indian Cookware For Biryani Curries Slow Cooking, Trusted Brands",
33,XQ4YUB,02.May.Emailer_2,33_02mayemailer_2_XQ4YUB.html,2026-08-05T22:48:53+00:00,25,"100+ Brands, Because Good Kitchens Don’t, COOKING EQUIPMENT, Commercial Blender, Don’t Have to Think About, FOOD PREPARATION, Fast Shipping, Food Processor, Have Time for Guesswork, INDIAN SPECIALTY, Indian Cookware, Indian Serveware, KaTom, Kitchen Utensils, Operations, Price Match, Quality Service, REFRIGERATION, Reach-in Refrigerator, Tandoor Equipment, The Kind of Equipment You, True Gdm 23 Hc Tsl01 Swing Door Refrigerator, True Refrigerator, Undercounter Cooling, Workspaces",
34,T4KPDX,01.May.Emailer_1,34_01mayemailer_1_T4KPDX.html,2026-08-05T22:48:18+00:00,32,"12 Brass Thali Set Of 7 Pieces Matt Finish Dinner Plates, Brass Diya Set — Editor's Pick, Brass Thali Set, Celebrate Festival, Commercial Refrigeration Solutions, Copper Handi Bowl, Copper Pooja Thali, Copper Stainless Steel Hammered Omega Katori Bowl 3 5 Oz Round Bottom For Dining Serving, Copper Stainless Steel Pickle Chutney Dip Serving Stand 3 Bowl Traditional Indian Condiment Holder With Brass Base, Core Kitchen Equipment, Fast Shipping, For Restaurants, Gifting and Hampers, Hammered Copper Kadai, Hammered Copper Stainless Steel Kadai Karahi Bowl With Welded Handle Traditional Indian Serveware, Marigold Toran, NEW ARRIVALS, PREP & WORKFLOW, Peacock Thali Plate 16 Inch 12 5 Round 3 5 Extension For Bowl Katori, Previous Stock,, Price Match, Quality Service, Serving Stand, Silver Kalash, Support That, The Equipment, The Festival Edit, The Ritual Room, Traditional Copper Handi Lagan With Kalai Tin Coating Inside Authentic Indian Cookware For Biryani Curries Slow Cooking, Trusted Brands, Waring CB15 Commercial Blender, Waring One Gallon 120 V Food Blender Heavy Duty Cb15 Cb 15 With Electronic Keypad 3 75 Hp",
35,VPUhfm,2026-04-24 10:44 Untitled email template,35_2026_04_24_1044_untitled_email_template_VPUhfm.html,2026-04-30T18:22:42+00:00,43,"13 Copper And Stainless Steel Sovereign Thali Handcrafted Hammered Serving Plate, Brass Diya Set, Celebrate Festival, Cooking & Heating Equipment, Copper Stainless Steel Hammered Omega Katori Bowl 3 5 Oz Round Bottom For Dining Serving, DELIVERY SUPPORT, Diya Set, Fast Shipping, Festival Planner, Festive Decor Collection, Floor Mixer, Free Shipping, Gas Burner, Gift Hamper, Gifting and Hampers, Globe Gsg1410 Smooth Plate Mid Size Electric Sandwich Grill, Globe Gsm130 Spiral 130Lb Floor Mixer, Hammered Copper Stainless Steel Kadai Karahi Bowl With Welded Handle Traditional Indian Cookware, Hand Hammered Copper Stainless Steel Biryani And Curry Handi Double Wall Cookware For Traditional Indian Cooking, Hand Hammered Oval Copper Stainless Steel Entree Serving Dish With Welded Handles, Hand Hammered Traditional Copper Oval Thali Designer Serving Plate For Meals, Incense Set, Kitchen & Bulk Order Support, LED String Lights, Mixer, New Arrivals This Week, New festive arrivals, Perfect Baking, Prep & Workflow Tools, Price Match, Puja and Pooja Essentials, Quality Service, Rangoli Kit, Sandwich Grill, Spectrum, Stock Ready for, Top Pick, True T 49 Hc Reach In Solid Swing Door Refrigerator, Trusted Brands, Up to 50 percent off, Vsp Series 220 000 Btu Stock Pot Range Vsp200F, Wall Hanging, When the Kitchen Keeps Going,",
36,XewNXp,2026-04-23 10:43 Untitled email template,36_2026_04_23_1043_untitled_email_template_XewNXp.html,2026-04-23T18:21:17+00:00,38,"100+ Brands, 12 Brass Thali Set Of 7 Pieces Matt Finish Dinner Plates, Biryani Handi, Brass Thali, Built for Busy Kitchens, Celebrate Festival Inc, Commercial Ovens, Commercial-Grade Equipment for, Cooking Equipment, Copper Kadai, Copper Stainless Steel Hammered Omega Katori Bowl 3 5 Oz Round Bottom For Dining Serving, Designed for Traditional Menus, Dishwashing Equipment, Everyday Kitchen Operations, Fast Shipping, Featured, Freezers, Gas Ranges, Grills, Hammered Copper Stainless Steel Kadai Karahi Bowl With Welded Handle Traditional Indian Serveware, Hand Hammered Copper Stainless Steel Biryani And Curry Handi Double Wall Cookware For Traditional Indian Cooking, Hand Hammered Oval Copper Stainless Steel Entree Serving Dish With Welded Handles, Indian, Ingredient Bins, Katori Bowl, Mixers, Prep Equipment, Price Match, Quality Service, Refrigeration Systems, Serving Dish, Set Up Your Kitchen, Storage Solutions, Top Picks, Traditional Copper Handi Lagan With Kalai Tin Coating Inside Authentic Indian Cookware For Biryani Curries Slow Cooking, Trusted by Restaurant Owners, Ventilation, for Better Performance",
